file,error
.\notwendig oder nicht\wichtig\out_selected\patches\analysis.py.insert.py,"SyntaxError(""'(' was never closed"", ('.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\analysis.py.insert.py', 21, 29, 'from financial_tools import (\n', 21, 0))"
.\notwendig oder nicht\wichtig\out_selected\patches\components\progress_demo.py.insert.py,"SyntaxError(""'(' was never closed"", ('.\\notwendig oder nicht\\wichtig\\out_selected\\patches\\components\\progress_demo.py.insert.py', 7, 41, 'from components.progress_manager import (\n', 7, 0))"
.\notwendig oder nicht\wichtig\portings\patches\analysis.py.insert.py,"SyntaxError('invalid syntax', ('.\\notwendig oder nicht\\wichtig\\portings\\patches\\analysis.py.insert.py', 23, 1, 'import streamlit as st\n', 23, 7))"
.\notwendig oder nicht\wichtig\portings\patches\excel_eval.py.insert.py,"IndentationError('unexpected indent', ('.\\notwendig oder nicht\\wichtig\\portings\\patches\\excel_eval.py.insert.py', 606, 4, '    def __init__(self, path: str | Path):\n', 606, -1))"
.\notwendig oder nicht\wichtig\portings\patches\heatpump_pricing.py.insert.py,"IndentationError('unexpected indent', ('.\\notwendig oder nicht\\wichtig\\portings\\patches\\heatpump_pricing.py.insert.py', 319, 4, '    @property\n', 319, -1))"
.\notwendig oder nicht\wichtig\portings\patches\multi_offer_generator_new.py.insert.py,"IndentationError('unexpected indent', ('.\\notwendig oder nicht\\wichtig\\portings\\patches\\multi_offer_generator_new.py.insert.py', 91, 4, '    def get_rotated_products_for_company(self, company_index: int, base_settings: Dict) -> Dict:\n', 91, -1))"
.\notwendig oder nicht\wichtig\portings\patches\pdf_atomizer.py.insert.py,"IndentationError('unexpected indent', ('.\\notwendig oder nicht\\wichtig\\portings\\patches\\pdf_atomizer.py.insert.py', 15, 4, '    def _snapshot(self, obj, _depth=0, _max_depth=10):\n', 15, -1))"
.\notwendig oder nicht\wichtig\portings\patches\components\progress_demo.py.insert.py,"SyntaxError(""'(' was never closed"", ('.\\notwendig oder nicht\\wichtig\\portings\\patches\\components\\progress_demo.py.insert.py', 8, 41, 'from components.progress_manager import (\n', 8, 0))"
.\notwendig oder nicht\wichtig\portings\patches\components\progress_manager.py.insert.py,"IndentationError('unexpected indent', ('.\\notwendig oder nicht\\wichtig\\portings\\patches\\components\\progress_manager.py.insert.py', 525, 4, '    def __init__(self):\n', 525, -1))"
.\notwendig oder nicht\zu implementieren\kalkulationen.py,"SyntaxError('invalid syntax', ('.\\notwendig oder nicht\\zu implementieren\\kalkulationen.py', 416, 1, '``` *(Pseudo-Code gemäß Beschreibung)*\n', 416, 2))"
.\tools\import_module_attributes_from_pdf.py,"SyntaxError(""expected 'except' or 'finally' block"", ('.\\tools\\import_module_attributes_from_pdf.py', 240, 5, '    for raw in raw_rows:\n', 240, 8))"
.\tools\out_selected\patches\analysis.py.insert.py,"SyntaxError(""'(' was never closed"", ('.\\tools\\out_selected\\patches\\analysis.py.insert.py', 21, 29, 'from financial_tools import (\n', 21, 0))"
.\tools\out_selected\patches\components\progress_demo.py.insert.py,"SyntaxError(""'(' was never closed"", ('.\\tools\\out_selected\\patches\\components\\progress_demo.py.insert.py', 7, 41, 'from components.progress_manager import (\n', 7, 0))"
.\tools\portings\patches\analysis.py.insert.py,"SyntaxError('invalid syntax', ('.\\tools\\portings\\patches\\analysis.py.insert.py', 23, 1, 'import streamlit as st\n', 23, 7))"
.\tools\portings\patches\excel_eval.py.insert.py,"IndentationError('unexpected indent', ('.\\tools\\portings\\patches\\excel_eval.py.insert.py', 606, 4, '    def __init__(self, path: str | Path):\n', 606, -1))"
.\tools\portings\patches\heatpump_pricing.py.insert.py,"IndentationError('unexpected indent', ('.\\tools\\portings\\patches\\heatpump_pricing.py.insert.py', 319, 4, '    @property\n', 319, -1))"
.\tools\portings\patches\multi_offer_generator_new.py.insert.py,"IndentationError('unexpected indent', ('.\\tools\\portings\\patches\\multi_offer_generator_new.py.insert.py', 91, 4, '    def get_rotated_products_for_company(self, company_index: int, base_settings: Dict) -> Dict:\n', 91, -1))"
.\tools\portings\patches\pdf_atomizer.py.insert.py,"IndentationError('unexpected indent', ('.\\tools\\portings\\patches\\pdf_atomizer.py.insert.py', 15, 4, '    def _snapshot(self, obj, _depth=0, _max_depth=10):\n', 15, -1))"
.\tools\portings\patches\components\progress_demo.py.insert.py,"SyntaxError(""'(' was never closed"", ('.\\tools\\portings\\patches\\components\\progress_demo.py.insert.py', 8, 41, 'from components.progress_manager import (\n', 8, 0))"
.\tools\portings\patches\components\progress_manager.py.insert.py,"IndentationError('unexpected indent', ('.\\tools\\portings\\patches\\components\\progress_manager.py.insert.py', 525, 4, '    def __init__(self):\n', 525, -1))"
